n_steps,final_rec,Ns,death_rate,Is,scenario,beta,infection_period,final_inf,detection_time,deaths,peak,reinfection_probability,seed
100,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.1,14,0.0,5,0,0.0003333333333333333,0.1,42
100,0.0026666666666666666,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.1,14,0.0,5,0,0.002,0.1,43
100,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.1,14,0.0,5,0,0.0003333333333333333,0.1,44
100,0.001333777925975325,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.2,14,0.0,5,1,0.0016666666666666668,0.1,42
100,0.002,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.2,14,0.0,5,0,0.002,0.1,43
100,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.2,14,0.0,5,0,0.0003333333333333333,0.1,44
100,0.030931586608442505,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.3,14,0.9690684133915575,5,252,0.9983260796786073,0.1,42
100,0.04005722460658083,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.3,14,0.9599427753934192,5,204,0.9982911825017088,0.1,43
100,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.3,14,0.0,5,0,0.0003333333333333333,0.1,44
100,0.030190085724934774,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.4,14,0.9698099142750652,5,317,1.0,0.1,42
100,0.005666666666666667,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.4,14,0.0,5,0,0.004666666666666667,0.1,43
100,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.4,14,0.0,5,0,0.0003333333333333333,0.1,44
100,0.006825938566552901,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.5,14,0.9931740614334471,5,363,1.0,0.1,42
100,0.0,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.5,14,1.0,5,324,1.0,0.1,43
100,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.5,14,0.0,5,0,0.0003333333333333333,0.1,44
100,0.011680482290881688,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.6,14,0.9883195177091183,5,346,1.0,0.1,42
100,0.0,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.6,14,1.0,5,314,1.0,0.1,43
100,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.6,14,0.0,5,0,0.0003333333333333333,0.1,44
100,0.04370961611554542,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.7,14,0.9562903838844545,5,369,1.0,0.1,42
100,0.0,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.7,14,1.0,5,338,1.0,0.1,43
100,0.006083650190114068,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.7,14,0.993916349809886,5,370,1.0,0.1,44
100,0.14860206817311375,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.8,14,0.8513979318268863,5,389,1.0,0.1,42
100,0.0,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.8,14,1.0,5,339,1.0,0.1,43
100,0.009723261032161555,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.8,14,0.9902767389678384,5,326,1.0,0.1,44
100,0.06367472190257001,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.9,14,0.93632527809743,5,393,1.0,0.1,42
100,0.038857142857142854,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.9,14,0.9611428571428572,5,375,1.0,0.1,43
100,0.0,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,0.9,14,1.0,5,410,1.0,0.1,44
100,0.0,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,1.0,14,1.0,5,404,1.0,0.1,42
100,0.0,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,1.0,14,1.0,5,402,1.0,0.1,43
100,0.0,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Быстрое выявление,1.0,14,1.0,5,421,1.0,0.1,44
100,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Базовое выявление,0.1,14,0.0,7,0,0.0003333333333333333,0.1,42
100,0.0026666666666666666,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Базовое выявление,0.1,14,0.0,7,0,0.002,0.1,43
100,0.0003333333333333333,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Базовое выявление,0.1,14,0.0,7,0,0.0003333333333333333,0.1,44
100,0.0400976290097629,"[1000, 1000, 1000]",0.02,"[0, 0, 1]",Базовое выявление,0.2,14,0.9599023709902371,7,132,0.9952846076119906,0.1,42
