time,city,infected
1,1,0
1,2,0
1,3,3
2,1,1
2,2,1
2,3,2
3,1,0
3,2,5
3,3,2
4,1,6
4,2,1
4,3,6
5,1,10
5,2,5
5,3,4
6,1,14
6,2,8
6,3,10
7,1,14
7,2,15
7,3,16
8,1,27
8,2,17
8,3,31
9,1,33
9,2,44
9,3,35
10,1,46
10,2,51
10,3,81
11,1,81
11,2,100
11,3,101
12,1,125
12,2,138
12,3,172
13,1,192
13,2,222
13,3,288
14,1,329
14,2,325
14,3,424
15,1,502
15,2,576
15,3,658
16,1,751
16,2,930
16,3,976
17,1,991
17,2,1042
17,3,967
18,1,997
18,2,1021
18,3,981
19,1,951
19,2,1075
19,3,973
20,1,1012
20,2,1029
20,3,956
21,1,971
21,2,1002
21,3,1023
22,1,1037
22,2,959
22,3,997
23,1,980
23,2,976
23,3,1021
24,1,962
24,2,1002
24,3,993
25,1,910
25,2,996
25,3,1024
26,1,920
26,2,954
26,3,994
27,1,826
27,2,959
27,3,964
28,1,746
28,2,867
28,3,992
29,1,797
29,2,835
29,3,1027
30,1,909
30,2,989
30,3,1027
31,1,1006
31,2,968
31,3,973
32,1,977
32,2,946
32,3,1023
33,1,972
33,2,1000
33,3,970
34,1,932
34,2,968
34,3,1044
35,1,982
35,2,983
35,3,976
36,1,993
36,2,946
36,3,985
37,1,999
37,2,950
37,3,962
38,1,961
38,2,951
38,3,968
39,1,913
39,2,937
39,3,951
40,1,860
40,2,927
40,3,932
41,1,720
41,2,850
41,3,987
42,1,759
42,2,825
42,3,946
43,1,902
43,2,996
43,3,903
44,1,957
44,2,991
44,3,940
45,1,958
45,2,994
45,3,935
46,1,898
46,2,1005
46,3,981
47,1,971
47,2,961
47,3,953
48,1,991
48,2,971
48,3,919
49,1,959
49,2,920
49,3,984
50,1,964
50,2,933
50,3,950
51,1,923
51,2,975
51,3,925
52,1,874
52,2,979
52,3,943
53,1,863
53,2,933
53,3,938
54,1,752
54,2,888
54,3,979
55,1,702
55,2,894
55,3,950
56,1,780
56,2,945
56,3,947
57,1,950
57,2,952
57,3,931
58,1,962
58,2,951
58,3,921
59,1,952
59,2,956
59,3,921
60,1,924
60,2,922
60,3,985
61,1,908
61,2,974
61,3,944
62,1,937
62,2,972
62,3,908
63,1,952
63,2,910
63,3,939
64,1,889
64,2,924
64,3,969
65,1,885
65,2,945
65,3,912
66,1,834
66,2,909
66,3,942
67,1,819
67,2,856
67,3,917
68,1,727
68,2,827
68,3,936
69,1,788
69,2,900
69,3,935
70,1,950
70,2,926
70,3,905
71,1,922
71,2,910
71,3,949
72,1,914
72,2,920
72,3,942
73,1,937
73,2,869
73,3,972
74,1,878
74,2,965
74,3,932
75,1,902
75,2,942
75,3,925
76,1,892
76,2,917
76,3,941
77,1,901
77,2,899
77,3,930
78,1,886
78,2,896
78,3,901
79,1,838
79,2,888
79,3,891
80,1,768
80,2,852
80,3,922
81,1,688
81,2,800
81,3,918
82,1,681
82,2,914
82,3,906
83,1,912
83,2,917
83,3,873
84,1,930
84,2,901
84,3,891
85,1,914
85,2,913
85,3,891
86,1,922
86,2,870
86,3,929
87,1,937
87,2,905
87,3,876
88,1,905
88,2,892
88,3,915
89,1,858
89,2,934
89,3,908
90,1,890
90,2,915
90,3,885
91,1,800
91,2,897
91,3,955
92,1,861
92,2,908
92,3,845
93,1,759
93,2,896
93,3,887
94,1,703
94,2,800
94,3,902
95,1,717
95,2,822
95,3,901
96,1,805
96,2,885
96,3,923
97,1,888
97,2,873
97,3,909
98,1,879
98,2,891
98,3,898
99,1,894
99,2,901
99,3,874
100,1,877
100,2,924
100,3,863
