time,infected
1,3
2,4
3,7
4,13
5,19
6,32
7,45
8,75
9,112
10,178
11,282
12,435
13,702
14,1078
15,1736
16,2657
17,3000
18,2999
19,2999
20,2997
21,2996
22,2993
23,2977
24,2957
25,2930
26,2868
27,2749
28,2605
29,2659
30,2925
31,2947
32,2946
33,2942
34,2944
35,2941
36,2924
37,2911
38,2880
39,2801
40,2719
41,2557
42,2530
43,2801
44,2888
45,2887
46,2884
47,2885
48,2881
49,2863
50,2847
51,2823
52,2796
53,2734
54,2619
55,2546
56,2672
57,2833
58,2834
59,2829
60,2831
61,2826
62,2817
63,2801
64,2782
65,2742
66,2685
67,2592
68,2490
69,2623
70,2781
71,2781
72,2776
73,2778
74,2775
75,2769
76,2750
77,2730
78,2683
79,2617
80,2542
81,2406
82,2501
83,2702
84,2722
85,2718
86,2721
87,2718
88,2712
89,2700
90,2690
91,2652
92,2614
93,2542
94,2405
95,2440
96,2613
97,2670
98,2668
99,2669
100,2664
