scenario,migration_intensity,mean_peak_time,mean_peak_value
Низкая заразность,0.0,32.0,0.332925740646037
Низкая заразность,0.1,48.333333333333336,0.9998887776665555
Низкая заразность,0.2,99.0,0.999874213836478
Низкая заразность,0.3,39.666666666666664,0.999662020296941
Низкая заразность,0.4,48.333333333333336,0.6669902505841593
Низкая заразность,0.5,54.666666666666664,0.9997770345596432
Базовая заразность,0.0,15.0,0.33325923455966805
Базовая заразность,0.1,22.0,1.0
Базовая заразность,0.2,16.0,1.0
Базовая заразность,0.3,17.0,1.0
Базовая заразность,0.4,19.0,1.0
Базовая заразность,0.5,20.0,1.0
Высокая заразность,0.0,10.333333333333334,0.3333333333333333
Высокая заразность,0.1,12.0,1.0
Высокая заразность,0.2,12.333333333333334,1.0
Высокая заразность,0.3,12.0,1.0
Высокая заразность,0.4,12.0,1.0
Высокая заразность,0.5,14.0,1.0
