case_name,β,γ,peak_I,final_R
gamma_low,0.1,0.05,977.5597161240589,993.2465100806727
gamma_low,0.15,0.05,976.808869797898,993.25169741491
gamma_low,0.2,0.05,976.4337910681786,993.2542886630395
gamma_low,0.25,0.05,976.2088495022676,993.2558426783258
gamma_low,0.3,0.05,976.0589339528402,993.2568783669055
gamma_low,0.35,0.05,975.9518782769551,993.257617968322
gamma_low,0.4,0.05,975.8715981024718,993.2581725849981
gamma_low,0.45,0.05,975.8091636445009,993.2586039152251
gamma_low,0.5,0.05,975.759221477512,993.2589489436095
gamma_low,0.55,0.05,975.7183611589599,993.259231219467
gamma_low,0.6,0.05,975.6843154174334,993.2594664257933
gamma_low,0.65,0.05,975.6555087048331,993.2596654395245
gamma_low,0.7,0.05,975.6308184845625,993.2598360154454
gamma_low,0.75,0.05,975.6094213659778,993.2599838401572
gamma_low,0.8,0.05,975.5906998078759,993.2601131778408
gamma_high,0.1,0.2,913.232412943967,999.9999978991049
gamma_high,0.15,0.2,910.4203677295629,999.9999979088435
gamma_high,0.2,0.2,909.0195385348638,999.9999979069023
gamma_high,0.25,0.2,908.1806773388399,999.9999979075268
gamma_high,0.3,0.2,907.6221152021564,999.999997915636
gamma_high,0.35,0.2,907.2234609305527,999.9999979104601
gamma_high,0.4,0.2,906.9246592062643,999.9999979152038
gamma_high,0.45,0.2,906.6923704983635,999.9999979125172
gamma_high,0.5,0.2,906.5066101596414,999.9999979149756
gamma_high,0.55,0.2,906.3546593899006,999.9999979144803
gamma_high,0.6,0.2,906.2280656435034,999.9999979200151
gamma_high,0.65,0.2,906.1209671895682,999.9999979129788
gamma_high,0.7,0.2,906.0291936872876,999.9999979159741
gamma_high,0.75,0.2,905.9496642087146,999.999997915348
gamma_high,0.8,0.2,905.880088641549,999.9999979174925
