time,S,I,R
0.0,990.0,10.0,0.0
0.5,3.2541990864760306e-8,864.6861327095276,135.3138672579306
1.0,3.462094527659119e-7,744.2422512085923,255.75774844519873
1.5,-2.6676546557004265e-7,640.5752425733485,359.4247576934176
2.0,4.0326309144204893e-7,551.3482201493325,448.6517794474053
2.5,3.8131287379556687e-7,474.5498108358932,525.4501887827948
3.0,9.933251726220662e-9,408.4488077163929,591.5511922736746
3.5,3.9928806113598424e-7,351.5551463709437,648.444853229769
4.0,3.191793137415215e-7,302.58631865916385,697.4136810216576
4.5,3.0844845353631944e-7,260.43845799303074,739.5615416985218
5.0,-1.0422193939352416e-9,224.1614584299924,775.8385415710509
5.5,2.2702520729762273e-7,192.93755504865763,807.0624447243183
6.0,1.701806336142715e-8,166.06289276165577,833.9371072213274
6.5,-1.799211498703935e-7,142.9316565839603,857.0683435959621
7.0,3.043689113843353e-7,123.02241644276396,876.9775832528684
7.5,1.9085665798652718e-7,105.88637518293065,894.1136246262139
8.0,2.137353284640427e-7,91.13724766433187,908.862752121934
8.5,-8.930605625372029e-8,78.44255629038075,921.5574437989266
9.0,4.056928173254587e-8,67.51613377200722,932.4838661874246
9.5,-1.5369693956407955e-7,58.11167506003386,941.8883250936642
10.0,1.1610240701018529e-8,50.01718210760591,949.982817880785
10.5,-1.7915414468948176e-9,43.05018761014615,956.9498123916466
11.0,-8.935859140931115e-8,37.05363990966885,962.9463601796908
11.5,8.276942389622098e-8,31.892363309100563,968.1076366081311
12.0,1.0513424730870954e-8,27.450011445593514,972.5499885438942
12.5,-1.6062009097460393e-8,23.626443624422965,976.3735563916401
13.0,-1.5780734903315337e-9,20.335468253615122,979.664531747964
13.5,2.2567682219819984e-8,17.5029000653015,982.4970999121318
14.0,4.814849831164905e-9,15.064885699924517,984.9351142952617
14.5,-5.275820504392707e-9,12.966463322538411,987.0335366827385
15.0,8.659505951981112e-9,11.160342484906854,988.8396575064347
15.5,-7.233112466593385e-10,9.605780899507204,990.3942191012172
16.0,1.4192947262404502e-9,8.267784360131145,991.7322156384506
16.5,1.345412362414122e-9,7.116123445126285,992.8838765535295
17.0,5.405161615029115e-10,6.124865914562875,993.8751340848977
17.5,2.9655360185778116e-10,5.271766354434292,994.7282336452703
18.0,1.376425522622729e-10,4.537463221948453,995.462536777915
18.5,7.621742211617259e-11,3.9053791997566845,996.0946208001683
19.0,4.690442496121671e-11,3.3614096286856254,996.6385903712686
19.5,2.7377018713469397e-11,2.8932317654014894,997.1067682345723
20.0,1.8121981726546757e-11,2.4901887502677207,997.5098112497153
20.5,1.2975358270811248e-11,2.143286115406052,997.8567138845821
21.0,9.73732372132492e-12,1.8447782688993977,998.155221731092
21.5,7.476734312557072e-12,1.5878586030391746,998.4121413969544
22.0,5.9871058583527365e-12,1.366653652380168,998.633346347615
22.5,4.955710318289462e-12,1.17625573322759,998.8237442667686
23.0,4.21565262898348e-12,1.0124325642444723,998.9875674357525
23.5,3.662349843721269e-12,0.871447210008449,999.128552789989
24.0,3.2428358587674044e-12,0.7500554066676037,999.2499445933303
24.5,2.9212253570618717e-12,0.6455443736648965,999.3544556263333
25.0,2.6710040146980876e-12,0.55562347504042,999.444376524958
25.5,2.47285376184874e-12,0.4782578453291267,999.5217421546695
26.0,2.313495916266835e-12,0.41166016218314117,999.5883398378156
26.5,2.1844937978174964e-12,0.35430167135411295,999.6456983286448
27.0,2.0793368977333895e-12,0.3049335059125189,999.6950664940865
27.5,1.993028759653706e-12,0.26246492988531844,999.7375350701138
28.0,1.921592593002591e-12,0.2259251939524764,999.7740748060468
28.5,1.862067517181656e-12,0.19446354892636641,999.805536451073
29.0,1.8122768003588784e-12,0.16736369558870756,999.8326363044106
29.5,1.7705177041079592e-12,0.1440426314119183,999.8559573685874
30.0,1.7353840777917648e-12,0.12398344313504663,999.8760165568643
30.5,1.7057043335691428e-12,0.106725460453223,999.8932745395462
31.0,1.680540946375643e-12,0.09186430409679057,999.9081356959026
31.5,1.6591611168963048e-12,0.07906148436451998,999.9209385156349
32.0,1.6409842005285599e-12,0.06804366553952063,999.93195633446
