time,S,I,R
0.0,990.0,10.0,0.0
0.5,5.195864416240369e-8,955.6259671178624,44.37403283017851
1.0,2.537949456465519e-7,909.0195385348638,90.98046121134057
1.5,3.254199086462748e-8,864.6861327095269,135.31386725793047
2.0,7.874285706826833e-8,822.5148923431834,177.48510757807324
2.5,3.826269841731145e-8,782.4003677235559,217.59963223818104
3.0,3.4620945276580037e-7,744.2422512085918,255.75774844519842
3.5,-3.648482946854141e-7,707.9451290013998,292.05487136344817
4.0,-9.809396339933858e-8,673.418237388779,326.5817627093147
4.5,-2.6676546556989617e-7,640.5752425733479,359.4247576934173
5.0,-3.7274680251428547e-7,609.3340194616598,390.66598091108676
5.5,4.4383066254442354e-7,579.616447861469,420.3835516947002
6.0,4.032630914415676e-7,551.3482201493318,448.6517794474051
6.5,-9.860749094336998e-8,524.4586506352332,475.5413494633741
7.0,4.3649994708926297e-7,498.8804998868166,501.1194996766833
7.5,3.8131287379505393e-7,474.5498108358926,525.4501887827944
8.0,-3.639411810598559e-7,451.4057441865866,548.5942561773546
8.5,9.48790564778569e-8,429.3904258168582,570.6095740882627
9.0,9.933251726353646e-9,408.44880771639237,591.5511922736744
9.5,-3.3999257593111244e-7,388.5285246524132,611.4714756875793
10.0,1.739576123997924e-7,369.5797644085457,630.4202354174965
10.5,3.992880611352414e-7,351.5551463709431,648.4448532297688
11.0,2.0547820158396113e-7,334.40959973750245,665.5904000570192
11.5,-3.500350039671559e-7,318.1002516530079,681.8997486970271
12.0,3.191793137409423e-7,302.58631865916334,697.4136810216573
12.5,2.713475250546405e-7,287.8290097922706,712.1709899363822
13.0,2.7511999335351377e-7,273.7914233221965,726.2085764026838
13.5,3.084484535353991e-7,260.4384579930304,739.5615416985213
14.0,-3.2787204920404685e-7,247.73672513830758,752.2632751895648
14.5,3.6636567259169925e-7,235.6544617999227,764.345537833712
15.0,-1.0422193940182508e-9,224.16145842999208,775.8385415710505
15.5,-2.0434588837369613e-7,213.22897530191167,786.7710249024348
16.0,-1.3676397903786523e-7,202.82967540545422,797.1703247313104
16.5,2.270252072970824e-7,192.93755504865754,807.0624447243179
17.0,7.992727111771789e-8,183.52787959024494,816.4721203298285
17.5,-1.904178883636303e-7,174.57711955036953,825.422880640049
18.0,1.7018063361307665e-8,166.06289276165577,833.9371072213269
18.5,2.875555636922358e-7,157.96390963946712,842.0360900729781
19.0,-5.195482875015374e-8,150.25991918573615,849.7400808662195
19.5,-1.7992114986992404e-7,142.9316565839603,857.0683435959617
20.0,-1.5360806017269203e-7,135.96079741765107,864.0392027359578
20.5,3.155296762723595e-8,129.32991090327803,870.6700890651698
21.0,3.0436891138356816e-7,123.02241644276398,876.9775832528679
21.5,-6.850510846319733e-8,117.02254275455005,882.9774573139558
22.0,-1.5047630199249708e-7,111.31528608371062,888.6847140667664
22.5,1.908566579861868e-7,105.88637518293069,894.1136246262134
23.0,-1.5559382773252462e-7,100.72223606741079,899.2777640881837
23.5,-1.618063090711552e-8,95.80995451639171,904.1900454997897
24.0,2.137353284635706e-7,91.13724766433197,908.8627521219335
24.5,-1.3093255316776813e-7,86.69243198312502,913.3075681478083
25.0,-2.0126590348928095e-7,82.46439226174657,917.5356079395201
25.5,-8.930605625349127e-8,78.44255629038078,921.557443798926
26.0,1.901787678011048e-8,74.61686757164894,925.3831324093339
26.5,6.152833448738494e-8,70.97775995438782,929.0222399840845
27.0,4.05692817324312e-8,67.51613377200727,932.4838661874242
27.5,-3.232336654911187e-8,64.2233331439749,935.7766668883492
28.0,-1.2404108966806018e-7,61.09112431876363,938.9088758052782
28.5,-1.5369693956375614e-7,58.111675060033875,941.8883250936638
29.0,-3.6555375085494036e-8,55.27753511169118,944.7224649248649
29.5,1.5754751443271113e-7,52.581617723349495,947.4183821191036
30.0,1.1610240701022394e-8,50.017182107605905,949.9828178807845
30.5,-1.2398269377664856e-7,47.57781547352836,952.4221846504549
31.0,8.25523794041604e-8,45.25741783808563,954.7425820793627
31.5,-1.7915414468767123e-9,43.05018761014615,956.9498123916461
32.0,-6.899470556711816e-8,40.95060522345013,959.0493948455453
32.5,1.022374055752228e-7,38.95342050143476,961.0465793963285
33.0,-8.935859140910775e-8,37.053639909668874,962.9463601796904
33.5,1.0389998919547111e-7,35.246512419031056,964.7534874770696
34.0,-7.730304894822624e-8,33.52751983568403,966.4724802416197
34.5,8.276942389599348e-8,31.8923633091006,968.1076366081306
35.0,-5.1162916609629285e-8,30.336954411729838,969.6630456394337
35.5,2.288573812187053e-8,28.857403725493956,971.142596251621
36.0,1.0513424730848746e-8,27.450011445593525,972.5499885438937
36.5,-4.335297648098034e-8,26.111258625166478,973.8887414181871
37.0,5.844604738764198e-8,24.83779754234332,975.1622023992113
37.5,-1.6062009097422217e-8,23.62644362442297,976.3735563916397
38.0,-2.5284797414845592e-8,22.47416850520258,977.5258315200829
38.5,4.386524556940014e-8,21.378090493112396,978.6219094630229
39.0,-1.5780734903271464e-9,20.33546825361512,979.6645317479636
39.5,-2.5224704687040686e-8,19.34369570389236,980.656304321333
40.0,1.2443385671344051e-8,18.400293030156355,981.5997069574009
40.5,2.2567682219762697e-8,17.502900065301507,982.4970999121315
41.0,-6.952875922299679e-9,16.649272283998485,983.3507277229551
41.5,-1.414770930082473e-8,15.837277840699672,984.1627221734486
42.0,4.81484983114634e-9,15.064885699924536,984.9351142952612
42.5,1.789335598543183e-8,14.33016279302792,985.6698371890793
43.0,4.3368952388425775e-9,13.631270221951715,986.3687297737121
43.5,-5.275820504375532e-9,12.96646332253841,987.033536682738
44.0,-5.651419645533305e-9,12.33408243144667,987.6659175742054
44.5,1.7279042424236715e-9,11.732544379847662,988.2674556184251
45.0,8.65950595195226e-9,11.160342484906872,988.8396575064343
45.5,5.496914284773405e-9,10.61604354672733,989.3839564477764
46.0,1.6405474631514704e-9,10.098284875546204,989.9017151228139
46.5,-7.233112466575766e-10,9.60578089950722,990.3942191012168
47.0,-1.2941358262543356e-9,9.137302717364234,990.8626972839306
47.5,-3.166256077482027e-10,8.69167667394099,991.3083233263764
48.0,1.419294726237264e-9,8.267784360131154,991.7322156384503
48.5,2.5784751425709967e-9,7.8645626128982915,992.1354373845239
49.0,1.9672634487171305e-9,7.480998520095197,992.5190014779382
49.5,1.3454123624101086e-9,7.11612344512629,992.883876553529
50.0,9.436571680633146e-10,6.769041805130783,993.2309581939263
50.5,6.938323960829487e-10,6.438896616612694,993.5611033826942
51.0,5.405161615013444e-10,6.124865914562877,993.8751340848974
51.5,4.4103016397630556e-10,5.826162752459034,994.1738372471007
52.0,3.654396877917417e-10,5.5420352022657084,994.4579647973695
52.5,2.9655360185712686e-10,5.271766354434291,994.7282336452698
53.0,2.2992435970767929e-10,5.0146743179030135,994.9853256818677
53.5,1.7384799950488852e-10,4.770112220096954,995.2298877797299
