β,peak_I,final_R
0.1,913.232412943967,999.9999978991049
0.15,910.4203677295629,999.9999979088435
0.2,909.0195385348638,999.9999979069023
0.25,908.1806773388399,999.9999979075268
0.3,907.6221152021564,999.999997915636
0.35,907.2234609305527,999.9999979104601
0.4,906.9246592062643,999.9999979152038
0.45,906.6923704983635,999.9999979125172
0.5,906.5066101596414,999.9999979149756
0.55,906.3546593899006,999.9999979144803
0.6,906.2280656435034,999.9999979200151
0.65,906.1209671895682,999.9999979129788
0.7,906.0291936872876,999.9999979159741
0.75,905.9496642087146,999.999997915348
0.8,905.880088641549,999.9999979174925
