β,peak_I,final_R
0.1,977.5597161240589,993.2465100806727
0.15,976.808869797898,993.25169741491
0.2,976.4337910681786,993.2542886630395
0.25,976.2088495022676,993.2558426783258
0.3,976.0589339528402,993.2568783669055
0.35,975.9518782769551,993.257617968322
0.4,975.8715981024718,993.2581725849981
0.45,975.8091636445009,993.2586039152251
0.5,975.759221477512,993.2589489436095
0.55,975.7183611589599,993.259231219467
0.6,975.6843154174334,993.2594664257933
0.65,975.6555087048331,993.2596654395245
0.7,975.6308184845625,993.2598360154454
0.75,975.6094213659778,993.2599838401572
0.8,975.5906998078759,993.2601131778408
