scenario,gamma,β,peak_I,final_R
gamma_low,0.05,0.1,977.5597161240589,993.2465100806727
gamma_low,0.05,0.15,976.808869797898,993.25169741491
gamma_low,0.05,0.2,976.4337910681786,993.2542886630395
gamma_low,0.05,0.25,976.2088495022676,993.2558426783258
gamma_low,0.05,0.3,976.0589339528402,993.2568783669055
gamma_low,0.05,0.35,975.9518782769551,993.257617968322
gamma_low,0.05,0.4,975.8715981024718,993.2581725849981
gamma_low,0.05,0.45,975.8091636445009,993.2586039152251
gamma_low,0.05,0.5,975.759221477512,993.2589489436095
gamma_low,0.05,0.55,975.7183611589599,993.259231219467
gamma_low,0.05,0.6,975.6843154174334,993.2594664257933
gamma_low,0.05,0.65,975.6555087048331,993.2596654395245
gamma_low,0.05,0.7,975.6308184845625,993.2598360154454
gamma_low,0.05,0.75,975.6094213659778,993.2599838401572
gamma_low,0.05,0.8,975.5906998078759,993.2601131778408
gamma_base,0.1,0.1,955.6259671178624,999.9543789676393
gamma_base,0.1,0.15,954.1568964325846,999.9544516223223
gamma_base,0.1,0.2,953.4236812173194,999.9544864197684
gamma_base,0.1,0.25,952.9841976491506,999.9545097137793
gamma_base,0.1,0.3,952.6913722338408,999.9545235233455
gamma_base,0.1,0.35,952.4823042281081,999.9545352233995
gamma_base,0.1,0.4,952.3255540093832,999.9545430130877
gamma_base,0.1,0.45,952.2036643215463,999.9545482376041
gamma_base,0.1,0.5,952.1061667265196,999.9545540811837
gamma_base,0.1,0.55,952.0264101284722,999.9545584068086
gamma_base,0.1,0.6,951.9599529308233,999.9545617869182
gamma_base,0.1,0.65,951.903726956126,999.9545635678049
gamma_base,0.1,0.7,951.8555405370915,999.9545665066449
gamma_base,0.1,0.75,951.8137812354347,999.9545693681603
gamma_base,0.1,0.8,951.7772424502738,999.9545703252898
gamma_high,0.2,0.1,913.232412943967,999.9999978991049
gamma_high,0.2,0.15,910.4203677295629,999.9999979088435
gamma_high,0.2,0.2,909.0195385348638,999.9999979069023
gamma_high,0.2,0.25,908.1806773388399,999.9999979075268
gamma_high,0.2,0.3,907.6221152021564,999.999997915636
gamma_high,0.2,0.35,907.2234609305527,999.9999979104601
gamma_high,0.2,0.4,906.9246592062643,999.9999979152038
gamma_high,0.2,0.45,906.6923704983635,999.9999979125172
gamma_high,0.2,0.5,906.5066101596414,999.9999979149756
gamma_high,0.2,0.55,906.3546593899006,999.9999979144803
gamma_high,0.2,0.6,906.2280656435034,999.9999979200151
gamma_high,0.2,0.65,906.1209671895682,999.9999979129788
gamma_high,0.2,0.7,906.0291936872876,999.9999979159741
gamma_high,0.2,0.75,905.9496642087146,999.999997915348
gamma_high,0.2,0.8,905.880088641549,999.9999979174925
