num_repairers,time,event,operating_machines,spares_available,repair_queue,repairers_busy,broken_total,failed
1,0.0,start,5,3,0,0,0,false
1,1.7270780585141887,machine_failure_start_repair,5,2,0,1,1,false
1,4.583331432649231,machine_failure_queue_repair,5,1,1,1,2,false
1,5.936896460971268,repair_complete_start_next,5,2,0,1,1,false
1,6.131174800513759,repair_complete,5,3,0,0,0,false
1,8.810074298065723,machine_failure_start_repair,5,2,0,1,1,false
1,9.633583401725991,machine_failure_queue_repair,5,1,1,1,2,false
1,10.074572906185683,machine_failure_queue_repair,5,0,2,1,3,false
1,10.71872669178473,system_failure,5,0,2,1,3,true
2,0.0,start,5,3,0,0,0,false
2,0.5002497971666238,machine_failure_start_repair,5,2,0,1,1,false
2,0.576069822811406,repair_complete,5,3,0,0,0,false
2,9.121521781049038,machine_failure_start_repair,5,2,0,1,1,false
2,11.322169159913605,machine_failure_start_repair,5,1,0,2,2,false
2,12.173672593744097,repair_complete,5,2,0,1,1,false
2,12.30769801731905,repair_complete,5,3,0,0,0,false
2,13.42956056241939,machine_failure_start_repair,5,2,0,1,1,false
2,15.780062675082611,repair_complete,5,3,0,0,0,false
2,17.187981498443264,machine_failure_start_repair,5,2,0,1,1,false
2,17.450920699196026,repair_complete,5,3,0,0,0,false
2,18.68807130748134,machine_failure_start_repair,5,2,0,1,1,false
2,21.736003642745978,repair_complete,5,3,0,0,0,false
2,22.26226033257875,machine_failure_start_repair,5,2,0,1,1,false
2,22.76644202048972,repair_complete,5,3,0,0,0,false
2,23.065770825100618,machine_failure_start_repair,5,2,0,1,1,false
2,24.22977601884287,repair_complete,5,3,0,0,0,false
2,28.078998675822888,machine_failure_start_repair,5,2,0,1,1,false
2,28.292390949318552,repair_complete,5,3,0,0,0,false
2,32.702604316322066,machine_failure_start_repair,5,2,0,1,1,false
2,34.99086317653406,repair_complete,5,3,0,0,0,false
2,36.85627263702059,machine_failure_start_repair,5,2,0,1,1,false
2,37.57395014912812,machine_failure_start_repair,5,1,0,2,2,false
2,39.84495218758197,repair_complete,5,2,0,1,1,false
2,41.52592376089174,machine_failure_start_repair,5,1,0,2,2,false
2,41.5275618490754,machine_failure_queue_repair,5,0,1,2,3,false
2,42.01517104022056,repair_complete_start_next,5,1,0,2,2,false
2,42.03105559825302,repair_complete,5,2,0,1,1,false
2,42.75162096985685,repair_complete,5,3,0,0,0,false
2,44.52768397368735,machine_failure_start_repair,5,2,0,1,1,false
2,44.96511263511763,repair_complete,5,3,0,0,0,false
2,47.52629757244823,machine_failure_start_repair,5,2,0,1,1,false
2,48.342213377094765,repair_complete,5,3,0,0,0,false
