t,S,I,R
0.0,990,10,0
0.0783407002623844,989,11,0
0.4150180132912773,988,12,0
0.43671511971822136,987,13,0
0.45287764935675007,986,14,0
0.6131534841144973,985,15,0
0.8399955959544327,984,16,0
0.9172247247790403,983,17,0
1.025652301991988,982,18,0
1.1964165505576498,981,19,0
1.4370741657943602,980,20,0
1.5573226695224909,979,21,0
1.7581422620292664,978,22,0
1.9333293824498239,977,23,0
2.0023776186473152,976,24,0
2.2021051154199114,975,25,0
2.274012956139553,974,26,0
2.3626954585687403,973,27,0
2.4397817042936376,972,28,0
2.4545408007422442,971,29,0
2.5845703831165214,970,30,0
2.613273367945632,969,31,0
2.8321108000008812,968,32,0
2.970984975210112,967,33,0
2.9777447152526366,966,34,0
2.9812884621601454,965,35,0
2.9822673092846097,964,36,0
3.14270338735758,963,37,0
3.2674388687841316,962,38,0
3.330356233328122,961,39,0
3.3368876119628856,960,40,0
3.398430125551883,959,41,0
3.4081373171311893,958,42,0
3.432870091464454,957,43,0
3.5223870339092995,956,44,0
3.556644213540235,955,45,0
3.587927437634046,954,46,0
3.6376084611404225,953,47,0
3.679948324673922,952,48,0
3.6973088600653496,951,49,0
3.7317322827650536,950,50,0
3.765815730804786,949,51,0
3.77183563223044,948,52,0
3.7997670499069836,947,53,0
3.811163218908203,946,54,0
3.8553090532130665,945,55,0
3.8838679748151574,944,56,0
3.9333738798181894,943,57,0
3.9357002343321357,942,58,0
3.939699042354317,941,59,0
3.9431234965023045,940,60,0
3.98415684028281,939,61,0
3.9995522401972003,938,62,0
4.0,938,61,1
4.0,938,60,2
4.0,938,59,3
4.0,938,58,4
4.0,938,57,5
4.0,938,56,6
4.0,938,55,7
4.0,938,54,8
4.0,938,53,9
4.0,938,52,10
4.020595615480019,937,53,10
4.078340700262385,937,52,11
4.091447482785519,936,53,11
4.157065688341929,935,54,11
4.415018013291277,935,53,12
4.421248470273749,934,54,12
4.4267016231392615,933,55,12
4.4367151197182215,933,54,13
4.45287764935675,933,53,14
4.4673449933345255,932,54,14
4.500520960981074,931,55,14
4.548209580859494,930,56,14
4.585298941813068,929,57,14
4.613153484114497,929,56,15
4.61576793677219,928,57,15
4.627651291224205,927,58,15
4.651256613249373,926,59,15
4.716902910371386,925,60,15
4.720882295388348,924,61,15
4.8399955959544325,924,60,16
4.853591836494464,923,61,16
4.873480040647712,922,62,16
4.91722472477904,922,61,17
5.013838780706914,921,62,17
5.025652301991988,921,61,18
5.033953826042788,920,62,18
5.040088086179364,919,63,18
5.126450994785336,918,64,18
5.1583738876151575,917,65,18
5.19641655055765,917,64,19
5.207217126711114,916,65,19
5.220253531207205,915,66,19
5.237314611193318,914,67,19
5.248104560770564,913,68,19
5.266654062754177,912,69,19
5.292113387908129,911,70,19
5.316502515127034,910,71,19
5.37174776152807,909,72,19
5.375974664483944,908,73,19
5.37710104036294,907,74,19
5.425994361663841,906,75,19
5.433313751412301,905,76,19
5.43707416579436,905,75,20
5.438672372135641,904,76,20
5.454273127903827,903,77,20
5.474622413377185,902,78,20
5.493294603713482,901,79,20
5.557322669522491,901,78,21
5.588408744599078,900,79,21
5.603984319248839,899,80,21
5.673314917163116,898,81,21
5.699681956550884,897,82,21
5.739198046224911,896,83,21
5.746023433050717,895,84,21
5.758142262029266,895,83,22
5.774762511216423,894,84,22
5.784020040962008,893,85,22
5.835236744772305,892,86,22
5.840683064845852,891,87,22
5.849965183203998,890,88,22
5.907114470730331,889,89,22
5.919093739753806,888,90,22
5.928343887815335,887,91,22
5.933329382449823,887,90,23
5.962503586142423,886,91,23
5.984920048045828,885,92,23
5.992762106120679,884,93,23
6.002377618647316,884,92,24
6.078696243743753,883,93,24
6.129870059004904,882,94,24
6.136870728771438,881,95,24
6.1428804666340575,880,96,24
6.202105115419911,880,95,25
6.241251887997837,879,96,25
6.2510522080074615,878,97,25
6.254571987102576,877,98,25
6.274012956139552,877,97,26
6.309113702953068,876,98,26
6.332456081351784,875,99,26
6.362695458568741,875,98,27
6.40715518626486,874,99,27
6.439781704293638,874,98,28
6.454540800742244,874,97,29
6.533452852939888,873,98,29
6.555073715286602,872,99,29
6.56323036900074,871,100,29
6.584570383116521,871,99,30
6.5907362553002695,870,100,30
6.594691442987602,869,101,30
6.5987219958037775,868,102,30
6.6083528538029,867,103,30
6.613273367945633,867,102,31
6.646504820272227,866,103,31
6.687711451300635,865,104,31
6.727394813772378,864,105,31
6.731379189978253,863,106,31
6.732062607071795,862,107,31
6.753296543499647,861,108,31
6.764057511906203,860,109,31
6.776663090665796,859,110,31
6.7946788204445925,858,111,31
6.832110800000882,858,110,32
6.8421816396283885,857,111,32
6.854297645050567,856,112,32
6.8644318268542035,855,113,32
6.865682898475493,854,114,32
6.900808159709971,853,115,32
6.929462413127697,852,116,32
6.951548406632231,851,117,32
6.955019706157851,850,118,32
6.958719674656599,849,119,32
6.962709911467806,848,120,32
6.970984975210111,848,119,33
