t,event,S,I,R
0.0783407002623844,infection,989,11,0
0.4150180132912773,infection,988,12,0
0.43671511971822136,infection,987,13,0
0.45287764935675007,infection,986,14,0
0.6131534841144973,infection,985,15,0
0.8399955959544327,infection,984,16,0
0.9172247247790403,infection,983,17,0
1.025652301991988,infection,982,18,0
1.1964165505576498,infection,981,19,0
1.4370741657943602,infection,980,20,0
1.5573226695224909,infection,979,21,0
1.7581422620292664,infection,978,22,0
1.9333293824498239,infection,977,23,0
2.0023776186473152,infection,976,24,0
2.2021051154199114,infection,975,25,0
2.274012956139553,infection,974,26,0
2.3626954585687403,infection,973,27,0
2.4397817042936376,infection,972,28,0
2.4545408007422442,infection,971,29,0
2.5845703831165214,infection,970,30,0
2.613273367945632,infection,969,31,0
2.8321108000008812,infection,968,32,0
2.970984975210112,infection,967,33,0
2.9777447152526366,infection,966,34,0
2.9812884621601454,infection,965,35,0
2.9822673092846097,infection,964,36,0
3.14270338735758,infection,963,37,0
3.2674388687841316,infection,962,38,0
3.330356233328122,infection,961,39,0
3.3368876119628856,infection,960,40,0
3.398430125551883,infection,959,41,0
3.4081373171311893,infection,958,42,0
3.432870091464454,infection,957,43,0
3.5223870339092995,infection,956,44,0
3.556644213540235,infection,955,45,0
3.587927437634046,infection,954,46,0
3.6376084611404225,infection,953,47,0
3.679948324673922,infection,952,48,0
3.6973088600653496,infection,951,49,0
3.7317322827650536,infection,950,50,0
3.765815730804786,infection,949,51,0
3.77183563223044,infection,948,52,0
3.7997670499069836,infection,947,53,0
3.811163218908203,infection,946,54,0
3.8553090532130665,infection,945,55,0
3.8838679748151574,infection,944,56,0
3.9333738798181894,infection,943,57,0
3.9357002343321357,infection,942,58,0
3.939699042354317,infection,941,59,0
3.9431234965023045,infection,940,60,0
3.98415684028281,infection,939,61,0
3.9995522401972003,infection,938,62,0
4.0,fixed_recovery,938,61,1
4.0,fixed_recovery,938,60,2
4.0,fixed_recovery,938,59,3
4.0,fixed_recovery,938,58,4
4.0,fixed_recovery,938,57,5
4.0,fixed_recovery,938,56,6
4.0,fixed_recovery,938,55,7
4.0,fixed_recovery,938,54,8
4.0,fixed_recovery,938,53,9
4.0,fixed_recovery,938,52,10
4.020595615480019,infection,937,53,10
4.078340700262385,fixed_recovery,937,52,11
4.091447482785519,infection,936,53,11
4.157065688341929,infection,935,54,11
4.415018013291277,fixed_recovery,935,53,12
4.421248470273749,infection,934,54,12
4.4267016231392615,infection,933,55,12
4.4367151197182215,fixed_recovery,933,54,13
4.45287764935675,fixed_recovery,933,53,14
4.4673449933345255,infection,932,54,14
4.500520960981074,infection,931,55,14
4.548209580859494,infection,930,56,14
4.585298941813068,infection,929,57,14
4.613153484114497,fixed_recovery,929,56,15
4.61576793677219,infection,928,57,15
4.627651291224205,infection,927,58,15
4.651256613249373,infection,926,59,15
4.716902910371386,infection,925,60,15
4.720882295388348,infection,924,61,15
4.8399955959544325,fixed_recovery,924,60,16
4.853591836494464,infection,923,61,16
4.873480040647712,infection,922,62,16
4.91722472477904,fixed_recovery,922,61,17
5.013838780706914,infection,921,62,17
5.025652301991988,fixed_recovery,921,61,18
5.033953826042788,infection,920,62,18
5.040088086179364,infection,919,63,18
5.126450994785336,infection,918,64,18
5.1583738876151575,infection,917,65,18
5.19641655055765,fixed_recovery,917,64,19
5.207217126711114,infection,916,65,19
5.220253531207205,infection,915,66,19
5.237314611193318,infection,914,67,19
5.248104560770564,infection,913,68,19
5.266654062754177,infection,912,69,19
5.292113387908129,infection,911,70,19
5.316502515127034,infection,910,71,19
5.37174776152807,infection,909,72,19
5.375974664483944,infection,908,73,19
5.37710104036294,infection,907,74,19
5.425994361663841,infection,906,75,19
5.433313751412301,infection,905,76,19
5.43707416579436,fixed_recovery,905,75,20
5.438672372135641,infection,904,76,20
5.454273127903827,infection,903,77,20
5.474622413377185,infection,902,78,20
5.493294603713482,infection,901,79,20
5.557322669522491,fixed_recovery,901,78,21
5.588408744599078,infection,900,79,21
5.603984319248839,infection,899,80,21
5.673314917163116,infection,898,81,21
5.699681956550884,infection,897,82,21
5.739198046224911,infection,896,83,21
5.746023433050717,infection,895,84,21
5.758142262029266,fixed_recovery,895,83,22
5.774762511216423,infection,894,84,22
5.784020040962008,infection,893,85,22
5.835236744772305,infection,892,86,22
5.840683064845852,infection,891,87,22
5.849965183203998,infection,890,88,22
5.907114470730331,infection,889,89,22
5.919093739753806,infection,888,90,22
5.928343887815335,infection,887,91,22
5.933329382449823,fixed_recovery,887,90,23
5.962503586142423,infection,886,91,23
5.984920048045828,infection,885,92,23
5.992762106120679,infection,884,93,23
6.002377618647316,fixed_recovery,884,92,24
6.078696243743753,infection,883,93,24
6.129870059004904,infection,882,94,24
6.136870728771438,infection,881,95,24
6.1428804666340575,infection,880,96,24
6.202105115419911,fixed_recovery,880,95,25
6.241251887997837,infection,879,96,25
6.2510522080074615,infection,878,97,25
6.254571987102576,infection,877,98,25
6.274012956139552,fixed_recovery,877,97,26
6.309113702953068,infection,876,98,26
6.332456081351784,infection,875,99,26
6.362695458568741,fixed_recovery,875,98,27
6.40715518626486,infection,874,99,27
6.439781704293638,fixed_recovery,874,98,28
6.454540800742244,fixed_recovery,874,97,29
6.533452852939888,infection,873,98,29
6.555073715286602,infection,872,99,29
6.56323036900074,infection,871,100,29
6.584570383116521,fixed_recovery,871,99,30
6.5907362553002695,infection,870,100,30
6.594691442987602,infection,869,101,30
6.5987219958037775,infection,868,102,30
6.6083528538029,infection,867,103,30
6.613273367945633,fixed_recovery,867,102,31
6.646504820272227,infection,866,103,31
6.687711451300635,infection,865,104,31
6.727394813772378,infection,864,105,31
6.731379189978253,infection,863,106,31
6.732062607071795,infection,862,107,31
6.753296543499647,infection,861,108,31
6.764057511906203,infection,860,109,31
6.776663090665796,infection,859,110,31
6.7946788204445925,infection,858,111,31
