t,S,I,R
0.0,990.0,10.0,0.0
0.5,987.3708077415982,11.29955096639293,1.3296412920088116
1.0,984.4093729868605,12.759075509227742,2.831551503911796
1.5,981.0774045256318,14.395803246268354,4.52679222809983
2.0,977.3332019976594,16.228147202569314,6.438650799771207
2.5,973.1316434777566,18.275567929939918,8.592788592303393
3.0,968.4242312223097,20.558419791204773,11.0173489864855
3.5,963.1592674282322,23.097657650364937,13.743074921402863
4.0,957.2822868821568,25.91439329714635,16.80331982069679
4.5,950.7363696832077,29.029551226517498,20.23407909027471
5.0,943.4627825674975,32.4632293974401,24.07398803506235
5.5,935.4025952743963,36.23345863346889,28.363946092134803
6.0,926.4972805605007,40.35578577551364,33.146933663985685
6.5,916.6898804775001,44.84224850835468,38.46787101414519
7.0,905.9269101602132,49.70001424943895,44.373075590347895
7.5,894.1623757058758,54.92895706281292,50.908667231311284
8.0,881.3579973924823,60.52152094552589,58.12048166199183
8.5,867.4851630299929,66.46189667017937,66.05294029982764
9.0,852.5283972181458,72.72297163003228,74.74863115182188
9.5,836.488167130967,79.26590275654031,84.24593011249266
10.0,819.3839463763709,86.03992049595867,94.57613312767032
10.5,801.2542314827554,92.98232557340563,105.76344294383898
11.0,782.1564975601806,100.01853642729203,117.82496601252741
11.5,762.1652960209559,107.06588455334973,130.76881942569437
12.0,741.3852925977627,114.02537533831848,144.5893320639188
12.5,719.9384041191113,120.79331072036267,159.26828516052606
13.0,697.9565142961605,127.26818029165754,174.77530541218198
13.5,675.581473722717,133.35066129838947,191.06786497889362
14.0,652.9650998752378,138.94361864075515,208.09128148400708
14.5,630.268479351397,143.952518568849,225.779002079754
15.0,607.6462589679758,148.29819412597664,244.0555469060476
15.5,585.2528875605909,151.9179315883315,262.82918085107764
16.0,563.2318749803917,154.7644925341329,282.0036324854754
16.5,541.7101069979492,156.8082921255842,301.4816008764667
17.0,520.7978453032591,158.03739910887268,321.1647555878683
17.5,500.58872750573585,158.45753581416957,340.95373668009466
18.0,481.15976713422026,158.09207815563016,360.7481547101495
18.5,462.5723069816658,156.97958655538088,380.4481064629535
19.0,444.8690426526148,155.1670900018241,399.96386734556125
19.5,428.06969004256905,152.71797405777573,419.2123358996554
20.0,412.183608304545,149.6980891079725,438.1183025874826
20.5,397.2107111044527,146.17438529987572,456.61490359567176
21.0,383.1414666210952,142.2149125436711,474.64362083523383
21.5,369.9568975461707,137.8888205122691,492.1542819415604
22.0,357.6285810842683,133.26635864130395,509.10506027442784
