t,S,I,R
0.0,990,10,0
0.05205187467098024,990,9,1
0.07123464080057373,989,10,1
0.2198207806928466,989,9,2
0.31055247267214825,989,8,3
0.563946433186473,988,9,3
0.7399373735293167,987,10,3
0.993422651469378,987,9,4
1.3430017357106758,986,10,4
1.4941319975893266,985,11,4
1.5187223599367567,985,10,5
1.5749686130362262,985,9,6
1.8968366602701296,984,10,6
1.9046797076710875,983,11,6
2.245988703775075,982,12,6
2.375318842004389,981,13,6
2.4980650385357084,980,14,6
2.546093412477467,979,15,6
2.6110469398155636,978,16,6
2.7032408689238956,977,17,6
2.734835397787916,976,18,6
2.7957720050555794,975,19,6
2.8449033936651387,975,18,7
2.929842971805615,974,19,7
3.023290096067569,973,20,7
3.030706215385284,973,19,8
3.107552568208753,972,20,8
3.186162642570863,971,21,8
3.2200000321814897,971,20,9
3.2604894157587627,970,21,9
3.3921103868589304,970,20,10
3.600234416538575,970,19,11
3.638432149446317,970,18,12
3.6763978236962567,969,19,12
3.699278224672832,969,18,13
4.242754931238725,968,19,13
4.252615651801071,968,18,14
4.532954573858475,967,19,14
4.592857709499257,966,20,14
4.658738129637802,965,21,14
4.6631592017997985,964,22,14
4.702564434785553,964,21,15
4.709748141149116,964,20,16
4.735491842499503,963,21,16
4.948314994798635,963,20,17
5.142190057586921,962,21,17
5.1535866505838035,962,20,18
5.217729393386049,961,21,18
5.238389222377752,960,22,18
5.27046638988589,959,23,18
5.304784930910136,958,24,18
5.349232080051356,958,23,19
5.357481687752674,957,24,19
5.451328117032985,956,25,19
5.469347479180698,955,26,19
5.497680398141772,955,25,20
5.533795879194709,955,24,21
5.5963579405988435,955,23,22
5.745357092010609,954,24,22
5.828649344987552,953,25,22
5.957534376857543,952,26,22
5.975949386758329,952,25,23
5.987458976441026,951,26,23
6.106102145583326,950,27,23
6.124985206453758,949,28,23
6.18238875276107,948,29,23
6.197594038731122,947,30,23
6.340575866463052,946,31,23
6.353523966427443,945,32,23
6.510186643206399,945,31,24
6.528648306420868,944,32,24
6.596235408495605,943,33,24
6.638317277093706,942,34,24
6.716077366225268,942,33,25
6.7455771467197385,942,32,26
6.785663642411718,941,33,26
6.849420148890441,940,34,26
6.856448362305432,940,33,27
6.874391915415919,939,34,27
6.9344579386969984,939,33,28
7.009634624694385,938,34,28
7.010913313005008,938,33,29
7.031999858505679,937,34,29
7.066841773991341,937,33,30
7.086885337898558,936,34,30
7.106785065038454,935,35,30
7.174871773505231,934,36,30
7.217154489103404,933,37,30
7.224153731675676,932,38,30
7.283916638680778,931,39,30
7.339551652496627,930,40,30
7.355456447789201,930,39,31
7.375086831974474,929,40,31
7.405777731832433,928,41,31
7.447327720963499,927,42,31
7.478545075790966,926,43,31
7.5195155555093365,925,44,31
7.541172058042132,924,45,31
7.614957027778133,923,46,31
7.674253252078122,922,47,31
7.720596515555085,921,48,31
7.7691154602539525,920,49,31
7.779799399493581,919,50,31
7.790914529127141,918,51,31
7.811918742681049,917,52,31
7.821425556079321,917,51,32
7.885066134579197,916,52,32
7.902794317943732,915,53,32
7.911080955680904,914,54,32
7.913519290993128,913,55,32
7.91731306056263,913,54,33
8.039146125350712,912,55,33
8.10159680405833,912,54,34
8.102276414605326,912,53,35
8.117563514694186,911,54,35
8.125020059948438,910,55,35
8.208970359016934,909,56,35
8.222705859872052,909,55,36
8.224087445345022,909,54,37
8.30240342424669,908,55,37
8.32095512124902,908,54,38
8.429629364421057,907,55,38
8.443494928294172,906,56,38
8.469284109209024,905,57,38
8.482010697857254,904,58,38
8.485891986063384,904,57,39
8.567920274615638,903,58,39
8.61025827042053,902,59,39
8.626641088848006,901,60,39
8.630279610110607,900,61,39
8.654517972787092,899,62,39
8.66688205550692,898,63,39
8.671845283588898,898,62,40
8.701759499299465,897,63,40
8.728176196750487,897,62,41
8.752863825843203,896,63,41
8.793439217914514,895,64,41
8.827150089653928,894,65,41
8.863844991079556,893,66,41
8.879504140661323,892,67,41
8.880130025692763,891,68,41
8.888789657055682,890,69,41
8.972013587177853,890,68,42
8.996428164241562,889,69,42
9.000944940342379,889,68,43
9.015077563726523,888,69,43
9.066936584979178,888,68,44
9.07551829122565,887,69,44
9.121799922382023,886,70,44
9.15073345302449,885,71,44
9.177526529846107,884,72,44
9.189559323006147,883,73,44
9.197340376742181,883,72,45
9.2042895145109,882,73,45
9.205937363217817,881,74,45
9.206824670654527,880,75,45
9.256598807638667,880,74,46
9.296361659967383,879,75,46
9.307612549986843,878,76,46
9.325855622305738,877,77,46
9.332125719519581,876,78,46
9.3333849357397,876,77,47
9.362916316569606,876,76,48
9.38188898724821,875,77,48
9.399918808688104,874,78,48
9.420369796656606,873,79,48
9.422889626509699,872,80,48
9.426608570328172,872,79,49
9.428057146701768,871,80,49
9.43285863905717,870,81,49
9.443020379993417,870,80,50
9.4531317291807,869,81,50
9.460506312337452,869,80,51
9.480325763230582,868,81,51
9.480749244598552,867,82,51
9.488033067314975,866,83,51
9.505035009950797,865,84,51
9.52935462409464,865,83,52
9.54122835362039,864,84,52
9.550259371252888,863,85,52
9.573470861333895,862,86,52
9.59214895796498,862,85,53
9.601145010416422,862,84,54
9.655376968939231,862,83,55
9.669347798361642,862,82,56
9.677803601646303,861,83,56
