t,event,person_id,S,I,R
0.05205187467098024,recovery,991,990,9,1
0.07123464080057373,infection,527,989,10,1
0.2198207806928466,recovery,995,989,9,2
0.31055247267214825,recovery,994,989,8,3
0.563946433186473,infection,534,988,9,3
0.7399373735293167,infection,92,987,10,3
0.993422651469378,recovery,997,987,9,4
1.3430017357106758,infection,207,986,10,4
1.4941319975893266,infection,756,985,11,4
1.5187223599367567,recovery,207,985,10,5
1.5749686130362262,recovery,527,985,9,6
1.8968366602701296,infection,790,984,10,6
1.9046797076710875,infection,625,983,11,6
2.245988703775075,infection,187,982,12,6
2.375318842004389,infection,539,981,13,6
2.4980650385357084,infection,459,980,14,6
2.546093412477467,infection,934,979,15,6
2.6110469398155636,infection,953,978,16,6
2.7032408689238956,infection,135,977,17,6
2.734835397787916,infection,196,976,18,6
2.7957720050555794,infection,624,975,19,6
2.8449033936651387,recovery,459,975,18,7
2.929842971805615,infection,43,974,19,7
3.023290096067569,infection,105,973,20,7
3.030706215385284,recovery,1000,973,19,8
3.107552568208753,infection,310,972,20,8
3.186162642570863,infection,125,971,21,8
3.2200000321814897,recovery,624,971,20,9
3.2604894157587627,infection,944,970,21,9
3.3921103868589304,recovery,105,970,20,10
3.600234416538575,recovery,625,970,19,11
3.638432149446317,recovery,993,970,18,12
3.6763978236962567,infection,577,969,19,12
3.699278224672832,recovery,539,969,18,13
4.242754931238725,infection,178,968,19,13
4.252615651801071,recovery,125,968,18,14
4.532954573858475,infection,13,967,19,14
4.592857709499257,infection,567,966,20,14
4.658738129637802,infection,164,965,21,14
4.6631592017997985,infection,706,964,22,14
4.702564434785553,recovery,934,964,21,15
4.709748141149116,recovery,790,964,20,16
4.735491842499503,infection,55,963,21,16
4.948314994798635,recovery,996,963,20,17
5.142190057586921,infection,686,962,21,17
5.1535866505838035,recovery,55,962,20,18
5.217729393386049,infection,22,961,21,18
5.238389222377752,infection,697,960,22,18
5.27046638988589,infection,73,959,23,18
5.304784930910136,infection,501,958,24,18
5.349232080051356,recovery,178,958,23,19
5.357481687752674,infection,81,957,24,19
5.451328117032985,infection,129,956,25,19
5.469347479180698,infection,29,955,26,19
5.497680398141772,recovery,187,955,25,20
5.533795879194709,recovery,944,955,24,21
5.5963579405988435,recovery,501,955,23,22
5.745357092010609,infection,354,954,24,22
5.828649344987552,infection,139,953,25,22
5.957534376857543,infection,329,952,26,22
5.975949386758329,recovery,129,952,25,23
5.987458976441026,infection,115,951,26,23
6.106102145583326,infection,197,950,27,23
6.124985206453758,infection,935,949,28,23
6.18238875276107,infection,681,948,29,23
6.197594038731122,infection,251,947,30,23
6.340575866463052,infection,384,946,31,23
6.353523966427443,infection,21,945,32,23
6.510186643206399,recovery,697,945,31,24
6.528648306420868,infection,653,944,32,24
6.596235408495605,infection,651,943,33,24
6.638317277093706,infection,597,942,34,24
6.716077366225268,recovery,567,942,33,25
6.7455771467197385,recovery,681,942,32,26
6.785663642411718,infection,909,941,33,26
6.849420148890441,infection,850,940,34,26
6.856448362305432,recovery,251,940,33,27
6.874391915415919,infection,957,939,34,27
6.9344579386969984,recovery,953,939,33,28
7.009634624694385,infection,5,938,34,28
7.010913313005008,recovery,43,938,33,29
7.031999858505679,infection,788,937,34,29
7.066841773991341,recovery,5,937,33,30
7.086885337898558,infection,748,936,34,30
7.106785065038454,infection,787,935,35,30
7.174871773505231,infection,84,934,36,30
7.217154489103404,infection,288,933,37,30
7.224153731675676,infection,342,932,38,30
7.283916638680778,infection,259,931,39,30
7.339551652496627,infection,316,930,40,30
7.355456447789201,recovery,686,930,39,31
7.375086831974474,infection,396,929,40,31
7.405777731832433,infection,570,928,41,31
7.447327720963499,infection,622,927,42,31
7.478545075790966,infection,897,926,43,31
7.5195155555093365,infection,172,925,44,31
7.541172058042132,infection,410,924,45,31
7.614957027778133,infection,229,923,46,31
7.674253252078122,infection,75,922,47,31
7.720596515555085,infection,356,921,48,31
7.7691154602539525,infection,737,920,49,31
7.779799399493581,infection,245,919,50,31
7.790914529127141,infection,386,918,51,31
7.811918742681049,infection,121,917,52,31
7.821425556079321,recovery,651,917,51,32
7.885066134579197,infection,626,916,52,32
7.902794317943732,infection,394,915,53,32
7.911080955680904,infection,390,914,54,32
7.913519290993128,infection,708,913,55,32
7.91731306056263,recovery,622,913,54,33
8.039146125350712,infection,68,912,55,33
8.10159680405833,recovery,998,912,54,34
8.102276414605326,recovery,22,912,53,35
8.117563514694186,infection,302,911,54,35
8.125020059948438,infection,317,910,55,35
8.208970359016934,infection,116,909,56,35
8.222705859872052,recovery,396,909,55,36
8.224087445345022,recovery,245,909,54,37
8.30240342424669,infection,388,908,55,37
8.32095512124902,recovery,394,908,54,38
8.429629364421057,infection,177,907,55,38
8.443494928294172,infection,609,906,56,38
8.469284109209024,infection,814,905,57,38
8.482010697857254,infection,671,904,58,38
8.485891986063384,recovery,534,904,57,39
8.567920274615638,infection,929,903,58,39
8.61025827042053,infection,599,902,59,39
8.626641088848006,infection,389,901,60,39
8.630279610110607,infection,167,900,61,39
8.654517972787092,infection,796,899,62,39
8.66688205550692,infection,656,898,63,39
8.671845283588898,recovery,992,898,62,40
8.701759499299465,infection,661,897,63,40
8.728176196750487,recovery,121,897,62,41
8.752863825843203,infection,716,896,63,41
8.793439217914514,infection,64,895,64,41
8.827150089653928,infection,89,894,65,41
8.863844991079556,infection,309,893,66,41
8.879504140661323,infection,942,892,67,41
8.880130025692763,infection,927,891,68,41
8.888789657055682,infection,331,890,69,41
8.972013587177853,recovery,935,890,68,42
8.996428164241562,infection,142,889,69,42
9.000944940342379,recovery,661,889,68,43
9.015077563726523,infection,31,888,69,43
9.066936584979178,recovery,653,888,68,44
9.07551829122565,infection,709,887,69,44
9.121799922382023,infection,304,886,70,44
9.15073345302449,infection,30,885,71,44
9.177526529846107,infection,182,884,72,44
9.189559323006147,infection,370,883,73,44
9.197340376742181,recovery,748,883,72,45
9.2042895145109,infection,86,882,73,45
9.205937363217817,infection,855,881,74,45
9.206824670654527,infection,746,880,75,45
9.256598807638667,recovery,21,880,74,46
9.296361659967383,infection,749,879,75,46
9.307612549986843,infection,627,878,76,46
9.325855622305738,infection,757,877,77,46
9.332125719519581,infection,134,876,78,46
9.3333849357397,recovery,788,876,77,47
9.362916316569606,recovery,30,876,76,48
9.38188898724821,infection,305,875,77,48
9.399918808688104,infection,49,874,78,48
9.420369796656606,infection,546,873,79,48
9.422889626509699,infection,682,872,80,48
9.426608570328172,recovery,746,872,79,49
9.428057146701768,infection,403,871,80,49
9.43285863905717,infection,843,870,81,49
9.443020379993417,recovery,29,870,80,50
9.4531317291807,infection,67,869,81,50
9.460506312337452,recovery,410,869,80,51
9.480325763230582,infection,636,868,81,51
9.480749244598552,infection,487,867,82,51
9.488033067314975,infection,639,866,83,51
9.505035009950797,infection,794,865,84,51
9.52935462409464,recovery,259,865,83,52
9.54122835362039,infection,530,864,84,52
9.550259371252888,infection,375,863,85,52
9.573470861333895,infection,781,862,86,52
9.59214895796498,recovery,787,862,85,53
9.601145010416422,recovery,927,862,84,54
9.655376968939231,recovery,384,862,83,55
9.669347798361642,recovery,639,862,82,56
9.677803601646303,infection,93,861,83,56
9.692007285274265,recovery,302,861,82,57
9.695214654558123,recovery,342,861,81,58
9.736216864262369,infection,150,860,82,58
9.861434372454463,infection,824,859,83,58
9.881847283525602,infection,976,858,84,58
9.8942573404554,recovery,13,858,83,59
9.911435573734419,recovery,716,858,82,60
9.943041913053303,recovery,81,858,81,61
9.987413664524661,infection,692,857,82,61
9.988824460694405,infection,11,856,83,61
10.0034573196744,recovery,909,856,82,62
10.009663521229092,infection,424,855,83,62
10.0240182189078,recovery,31,855,82,63
10.035859539786184,recovery,824,855,81,64
10.038539817002173,infection,223,854,82,64
10.047602376453883,infection,52,853,83,64
10.069374712490784,infection,80,852,84,64
10.094156137897755,infection,233,851,85,64
10.101567345086702,infection,774,850,86,64
10.103574477691875,recovery,317,850,85,65
10.105174575019863,infection,458,849,86,65
10.111312539095566,recovery,487,849,85,66
10.112743255599979,recovery,403,849,84,67
10.11726954791571,infection,638,848,85,67
10.137293490647671,infection,415,847,86,67
10.142814791272473,infection,900,846,87,67
10.156074223612396,recovery,329,846,86,68
10.15943886229405,infection,124,845,87,68
10.169083046437173,recovery,67,845,86,69
10.179335389609621,recovery,976,845,85,70
10.188718452983785,recovery,386,845,84,71
10.22078427801204,infection,24,844,85,71
10.22990966085323,recovery,999,844,84,72
10.24138453100915,infection,398,843,85,72
10.256371701414603,recovery,636,843,84,73
10.263957380213194,infection,96,842,85,73
10.27635994577616,recovery,389,842,84,74
10.321612418525552,infection,350,841,85,74
10.337269385894347,recovery,52,841,84,75
10.345871326052913,recovery,135,841,83,76
10.371779203556033,recovery,709,841,82,77
10.373159809024838,recovery,671,841,81,78
10.381446305548439,recovery,814,841,80,79
10.403672993948355,recovery,197,841,79,80
10.40493674762173,infection,878,840,80,80
10.405167778735185,infection,79,839,81,80
10.421084999299252,recovery,80,839,80,81
10.421392902779445,infection,60,838,81,81
10.428466157003296,recovery,182,838,80,82
10.430452444659135,recovery,957,838,79,83
10.483385845803028,infection,324,837,80,83
10.510395123138611,recovery,93,837,79,84
10.522429749270213,recovery,331,837,78,85
10.5269437356282,infection,946,836,79,85
10.540048543284358,recovery,177,836,78,86
10.546346128854598,recovery,167,836,77,87
10.566601670167827,infection,358,835,78,87
10.592142583820943,recovery,855,835,77,88
10.599766760893104,infection,579,834,78,88
10.623569376429856,infection,101,833,79,88
10.646256611731891,infection,171,832,80,88
10.667534598045364,recovery,288,832,79,89
10.688219313931802,recovery,530,832,78,90
10.711367744848848,recovery,599,832,77,91
10.711847593798776,recovery,49,832,76,92
10.749927580077882,infection,982,831,77,92
10.786668554332556,recovery,546,831,76,93
10.812428089119996,infection,399,830,77,93
10.814394287829893,infection,97,829,78,93
10.825680467839417,infection,40,828,79,93
10.834060124208179,infection,621,827,80,93
10.834707774672927,recovery,415,827,79,94
10.853588276159014,recovery,942,827,78,95
10.857056530969457,recovery,92,827,77,96
10.872193097800986,infection,482,826,78,96
10.887063278094564,infection,821,825,79,96
10.935042148619257,infection,973,824,80,96
10.944072422928432,recovery,737,824,79,97
10.95722163534653,infection,581,823,80,97
11.011693528785779,infection,265,822,81,97
11.024518137415944,infection,307,821,82,97
11.043023067772172,recovery,794,821,81,98
11.097442295861784,recovery,577,821,80,99
11.131920978224478,infection,254,820,81,99
11.165485684900455,recovery,139,820,80,100
11.174223104874802,recovery,40,820,79,101
11.182673293438933,recovery,233,820,78,102
11.205655487258845,infection,191,819,79,102
11.230948684892926,infection,894,818,80,102
11.248533412497308,recovery,897,818,79,103
11.2513628948329,infection,685,817,80,103
11.259454464395326,recovery,265,817,79,104
11.281475831973294,recovery,24,817,78,105
11.305547490539535,recovery,424,817,77,106
11.315176126160088,infection,12,816,78,106
11.315616952071819,recovery,375,816,77,107
11.330017705762849,recovery,878,816,76,108
11.339452426726847,infection,109,815,77,108
11.341818990233184,recovery,850,815,76,109
11.352747565605144,infection,816,814,77,109
11.365346356224817,infection,514,813,78,109
11.371370468999288,infection,582,812,79,109
11.373484144134874,infection,798,811,80,109
11.382183061216796,recovery,64,811,79,110
11.400569182734804,infection,984,810,80,110
11.432428442591661,infection,204,809,81,110
11.449065814479674,infection,773,808,82,110
11.457392454575416,recovery,984,808,81,111
11.465693188701126,infection,907,807,82,111
11.469829547032479,recovery,682,807,81,112
11.485461038413224,recovery,609,807,80,113
11.522866649204454,recovery,307,807,79,114
11.532741631695036,infection,780,806,80,114
11.538442199929895,infection,436,805,81,114
11.554093357089972,infection,360,804,82,114
11.564383201843306,infection,325,803,83,114
11.566493435773241,infection,544,802,84,114
11.599796334775467,infection,322,801,85,114
11.604622308560648,infection,156,800,86,114
11.660210190660285,recovery,305,800,85,115
11.666671374522721,infection,409,799,86,115
11.685587796613184,infection,869,798,87,115
11.689474169804447,infection,51,797,88,115
11.758916393681227,infection,725,796,89,115
11.79652950172069,recovery,75,796,88,116
11.816527279473,recovery,725,796,87,117
11.847435556796452,infection,25,795,88,117
11.865253194698127,infection,990,794,89,117
11.897747070775141,recovery,582,794,88,118
11.902439343390078,infection,969,793,89,118
11.913815346193479,infection,269,792,90,118
11.92875350079698,infection,741,791,91,118
11.945696030685225,infection,800,790,92,118
11.949109851708377,recovery,907,790,91,119
11.950977771153596,recovery,86,790,90,120
11.988319496057883,recovery,969,790,89,121
11.994705929217249,infection,607,789,90,121
11.999661490843181,infection,441,788,91,121
12.052115212023104,infection,917,787,92,121
12.057234685185952,infection,428,786,93,121
12.065465397683582,recovery,621,786,92,122
12.119587348576792,infection,397,785,93,122
12.131737104435468,infection,707,784,94,122
12.14502063606692,recovery,441,784,93,123
12.147758689632987,infection,825,783,94,123
12.165425152540815,infection,127,782,95,123
12.178226295579034,infection,78,781,96,123
12.200845746621054,recovery,89,781,95,124
12.227371167269258,infection,925,780,96,124
12.244814592299779,infection,496,779,97,124
12.29510582900156,recovery,127,779,96,125
12.3001118832405,infection,419,778,97,125
12.301886465579509,infection,566,777,98,125
12.315061943938682,recovery,322,777,97,126
12.325103045134938,infection,287,776,98,126
12.367523330274766,infection,882,775,99,126
12.371627319893243,recovery,843,775,98,127
12.378561512143698,infection,664,774,99,127
12.399964796772124,infection,702,773,100,127
12.417143136732387,infection,365,772,101,127
12.423061232423514,infection,107,771,102,127
12.45966882252421,infection,628,770,103,127
12.479375397193639,infection,357,769,104,127
12.508934415107058,infection,858,768,105,127
12.58188205608066,infection,811,767,106,127
12.583306319388083,infection,975,766,107,127
12.588160130565829,infection,603,765,108,127
12.588271193186245,infection,291,764,109,127
12.600906692404902,infection,786,763,110,127
12.609428707625614,infection,735,762,111,127
12.610442779927778,infection,379,761,112,127
12.641369827333726,recovery,603,761,111,128
12.64252079987193,recovery,685,761,110,129
12.655418190351067,infection,648,760,111,129
12.660093881230702,infection,100,759,112,129
12.662262962145757,recovery,664,759,111,130
12.666793275938987,infection,289,758,112,130
12.672292224948103,infection,312,757,113,130
12.676209711460553,infection,751,756,114,130
12.681479269147044,recovery,946,756,113,131
12.686679898191759,infection,282,755,114,131
12.711402583665508,recovery,436,755,113,132
12.716809959822982,infection,199,754,114,132
12.731448998382028,recovery,309,754,113,133
12.753711800707503,infection,962,753,114,133
12.757343741108794,infection,327,752,115,133
12.763899574898124,infection,632,751,116,133
12.785670286701237,infection,334,750,117,133
12.791931293299674,infection,874,749,118,133
12.796368193369636,infection,715,748,119,133
12.798015804536599,infection,300,747,120,133
12.79954786379739,infection,407,746,121,133
12.807725910179995,infection,76,745,122,133
12.817458685149255,recovery,51,745,121,134
12.824861745669732,infection,508,744,122,134
12.828000251462866,infection,640,743,123,134
12.830485229182532,infection,218,742,124,134
12.83315593366346,recovery,164,742,123,135
12.87989451728692,infection,840,741,124,135
12.884393366094546,recovery,304,741,123,136
12.896394212047388,infection,556,740,124,136
12.928876705153888,recovery,325,740,123,137
12.950600825520516,infection,91,739,124,137
12.955178696713622,infection,272,738,125,137
12.961262138597936,recovery,648,738,124,138
12.985970343605986,recovery,597,738,123,139
12.990437219735028,infection,54,737,124,139
13.012448008572635,recovery,204,737,123,140
13.025606878374669,recovery,514,737,122,141
13.052041937744347,recovery,496,737,121,142
13.074810819099175,infection,442,736,122,142
13.08018570000919,recovery,780,736,121,143
13.141039756531166,recovery,858,736,120,144
13.143327070309871,recovery,419,736,119,145
13.145405701626261,recovery,638,736,118,146
13.148748975889202,recovery,350,736,117,147
13.171882914171572,recovery,756,736,116,148
13.213184404466482,infection,262,735,117,148
13.238988000313473,infection,479,734,118,148
13.268949926712978,infection,955,733,119,148
13.269042054793056,recovery,632,733,118,149
13.276414538070197,infection,494,732,119,149
13.29359648328518,infection,678,731,120,149
13.310618131695229,infection,438,730,121,149
13.322221880008044,recovery,76,730,120,150
13.34463305924146,recovery,397,730,119,151
13.351201546055076,recovery,973,730,118,152
13.370666396001067,recovery,370,730,117,153
13.379073497273108,recovery,124,730,116,154
13.41751737556434,infection,585,729,117,154
13.44408689915799,recovery,79,729,116,155
13.450913414484045,infection,94,728,117,155
13.452609864254656,infection,297,727,118,155
13.463693636412817,infection,303,726,119,155
13.481725194448998,infection,160,725,120,155
13.492571256655117,infection,437,724,121,155
13.50561763988492,infection,498,723,122,155
13.51170419147588,infection,244,722,123,155
13.520622383680934,recovery,398,722,122,156
13.527208592208572,infection,180,721,123,156
13.53073237833547,infection,174,720,124,156
13.582778549737357,infection,466,719,125,156
13.586454460879697,recovery,312,719,124,157
13.60267604805313,infection,61,718,125,157
13.614142644793285,recovery,581,718,124,158
13.621069753866719,recovery,316,718,123,159
13.639293898281284,recovery,774,718,122,160
13.675515191419322,infection,235,717,123,160
13.68216732930992,infection,270,716,124,160
13.685287887716942,recovery,579,716,123,161
13.688182284638339,recovery,310,716,122,162
13.70380294558681,recovery,156,716,121,163
13.749123215294427,infection,782,715,122,163
13.778445887722162,recovery,407,715,121,164
13.792549559843236,infection,873,714,122,164
13.81136944572223,recovery,678,714,121,165
13.821205202849242,recovery,900,714,120,166
13.846660822664592,infection,343,713,121,166
13.867581025108688,infection,594,712,122,166
13.872209245824964,recovery,172,712,121,167
13.877758075212164,recovery,399,712,120,168
13.884043145246336,recovery,508,712,119,169
13.894446721547718,infection,937,711,120,169
13.895736220651091,recovery,100,711,119,170
13.918220791298342,infection,454,710,120,170
13.92038982096205,infection,805,709,121,170
13.947937902142835,infection,803,708,122,170
13.962954292095425,infection,119,707,123,170
13.966920455258377,infection,163,706,124,170
13.96846595398824,infection,6,705,125,170
13.995480891288473,recovery,786,705,124,171
14.001949931204619,infection,74,704,125,171
14.03139197129277,infection,623,703,126,171
14.053075370919457,recovery,925,703,125,172
14.075159842057847,infection,213,702,126,172
14.07683634792406,recovery,358,702,125,173
14.078805188930346,infection,541,701,126,173
14.08433629923976,recovery,343,701,125,174
14.085991258956664,recovery,54,701,124,175
14.087394924023725,infection,573,700,125,175
14.157838712231863,recovery,244,700,124,176
14.158530609610438,recovery,707,700,123,177
14.173753294412492,infection,242,699,124,177
14.179083525597319,infection,267,698,125,177
14.185348041823834,infection,232,697,126,177
14.196499584565156,infection,110,696,127,177
14.220948687682311,recovery,267,696,126,178
14.23788734940029,recovery,937,696,125,179
14.239447200010389,infection,663,695,126,179
14.269303723936961,infection,899,694,127,179
14.277005023794532,recovery,715,694,126,180
14.288469124346166,recovery,101,694,125,181
14.302500876421743,infection,596,693,126,181
14.309441946698948,recovery,107,693,125,182
14.310466868559024,recovery,180,693,124,183
14.331260162375882,infection,278,692,125,183
14.336054105531508,infection,26,691,126,183
14.358044993705807,infection,589,690,127,183
14.37869914725753,infection,491,689,128,183
14.425217307006085,infection,488,688,129,183
14.45006466540247,recovery,262,688,128,184
14.473571640958584,infection,952,687,129,184
14.482904625847127,infection,860,686,130,184
14.490346494675453,infection,966,685,131,184
14.4928211818098,infection,775,684,132,184
14.499205374321782,infection,131,683,133,184
14.521104823587505,recovery,556,683,132,185
14.534021555307207,infection,148,682,133,185
14.544925070186343,infection,948,681,134,185
14.576492789063462,recovery,458,681,133,186
14.609748972553808,infection,62,680,134,186
14.614772706652584,recovery,438,680,133,187
14.633648041239095,infection,668,679,134,187
14.650023029349386,infection,818,678,135,187
14.669393637098786,recovery,749,678,134,188
14.680474190933287,infection,434,677,135,188
14.685950261726852,infection,919,676,136,188
14.717402444864701,infection,449,675,137,188
14.722416140217916,infection,95,674,138,188
14.724891638941422,infection,646,673,139,188
14.749789399191476,recovery,357,673,138,189
14.750071795362906,infection,924,672,139,189
14.760719978353045,infection,747,671,140,189
14.764415036499367,infection,480,670,141,189
14.78971799824648,recovery,741,670,140,190
14.804949482411496,recovery,803,670,139,191
14.837213190921792,infection,600,669,140,191
14.851594217492119,infection,783,668,141,191
14.857807188842694,infection,879,667,142,191
14.859288458605516,recovery,68,667,141,192
14.881353809910284,infection,132,666,142,192
14.893558700768692,infection,562,665,143,192
14.895756429471733,recovery,437,665,142,193
14.904629587789927,recovery,150,665,141,194
14.91018329682105,infection,221,664,142,194
14.926729143926227,recovery,297,664,141,195
14.927747609000498,recovery,11,664,140,196
14.932333808765009,recovery,899,664,139,197
14.935902446217284,recovery,134,664,138,198
14.944686353886762,recovery,84,664,137,199
14.958630279092576,recovery,919,664,136,200
14.96840420347954,infection,612,663,137,200
14.980524192290863,recovery,479,663,136,201
14.982634836576038,recovery,640,663,135,202
14.984338107175475,recovery,142,663,134,203
15.011329489099545,recovery,94,663,133,204
15.01803598349582,infection,385,662,134,204
15.078575129582491,recovery,454,662,133,205
15.080982836145921,infection,141,661,134,205
15.085342428196597,infection,57,660,135,205
15.089293035083607,recovery,796,660,134,206
15.09294665400786,recovery,141,660,133,207
15.095685798839892,infection,320,659,134,207
15.10023572857893,infection,133,658,135,207
15.10089615215529,infection,338,657,136,207
15.117935717989345,infection,481,656,137,207
15.144906760652011,infection,545,655,138,207
15.17165049375062,infection,225,654,139,207
15.181243152271856,infection,655,653,140,207
15.198559500839197,recovery,498,653,139,208
15.227882633375906,recovery,975,653,138,209
15.231547705240706,infection,484,652,139,209
15.25399546610295,recovery,171,652,138,210
15.256403505167462,infection,841,651,139,210
15.257290308803377,recovery,163,651,138,211
15.257914696295998,recovery,706,651,137,212
15.26866464423688,infection,561,650,138,212
15.273332699824898,infection,847,649,139,212
15.286325299992013,recovery,354,649,138,213
15.29265101774572,recovery,388,649,137,214
15.327107364487503,infection,673,648,138,214
15.343682881741715,recovery,385,648,137,215
15.346043648784367,recovery,119,648,136,216
15.379081364581113,infection,271,647,137,216
15.381283402878935,infection,433,646,138,216
15.389934764497244,recovery,232,646,137,217
15.395061220067777,infection,588,645,138,217
15.421113376501701,recovery,360,645,137,218
15.423116605640283,recovery,929,645,136,219
15.437419009737258,infection,950,644,137,219
15.453845776912269,infection,465,643,138,219
15.500476239076157,infection,769,642,139,219
15.507329693995722,infection,224,641,140,219
15.519385587211476,infection,285,640,141,219
15.52310732807964,infection,675,639,142,219
15.52396337196429,infection,938,638,143,219
15.596480498045898,recovery,278,638,142,220
15.605808485891494,infection,688,637,143,220
15.613038241419503,recovery,783,637,142,221
15.626433107557824,infection,641,636,143,221
15.626883476271415,infection,17,635,144,221
15.657889569740922,infection,645,634,145,221
15.658904539375524,recovery,303,634,144,222
15.675496465721062,infection,971,633,145,222
15.680281600219221,recovery,623,633,144,223
15.680781389663366,infection,264,632,145,223
15.689884366292022,recovery,869,632,144,224
15.698609176079904,infection,895,631,145,224
15.707820840564661,infection,475,630,146,224
15.712864031098205,infection,739,629,147,224
15.718012091797453,infection,39,628,148,224
15.720414474994115,recovery,282,628,147,225
15.72511051110308,recovery,481,628,146,226
15.729815775439487,recovery,971,628,145,227
15.742942322030027,recovery,982,628,144,228
15.75018464545606,infection,863,627,145,228
15.754406067110125,recovery,966,627,144,229
15.776352882193992,infection,672,626,145,229
15.795524576660576,recovery,544,626,144,230
15.800340578414435,infection,812,625,145,230
15.808449483509083,infection,252,624,146,230
15.810059690064707,infection,184,623,147,230
15.814828998219143,infection,964,622,148,230
15.824627623476502,recovery,917,622,147,231
15.84114509861019,infection,268,621,148,231
15.84550010752793,infection,758,620,149,231
15.864101381575264,infection,461,619,150,231
15.864930631663826,recovery,39,619,149,232
15.872051146062246,infection,149,618,150,232
15.873115283752057,recovery,434,618,149,233
15.890280460473594,recovery,873,618,148,234
15.89257529877982,infection,489,617,149,234
15.904021974778782,infection,611,616,150,234
15.916034169808036,recovery,356,616,149,235
15.916702826736724,infection,336,615,150,235
15.934091745542286,infection,155,614,151,235
15.951195726654293,recovery,811,614,150,236
15.962879118280439,infection,761,613,151,236
15.97252464471125,infection,961,612,152,236
15.975543104988434,infection,414,611,153,236
15.97661845144452,infection,762,610,154,236
15.980393269187317,infection,19,609,155,236
16.020243722809706,recovery,570,609,154,237
16.024571206595095,infection,280,608,155,237
16.031850053405858,recovery,818,608,154,238
16.034414879770736,recovery,160,608,153,239
16.034530824996835,infection,543,607,154,239
16.041758267524088,recovery,600,607,153,240
16.072582780949237,infection,693,606,154,240
16.114200472796607,recovery,545,606,153,241
16.122422374255127,recovery,300,606,152,242
16.1303944664117,infection,181,605,153,242
16.14373586699934,infection,689,604,154,242
16.146582026542838,recovery,874,604,153,243
16.151435811957324,recovery,115,604,152,244
16.165994440890483,infection,920,603,153,244
16.188695061977008,infection,943,602,154,244
16.202938710681515,infection,239,601,155,244
16.21077616504741,recovery,12,601,154,245
16.215217757134905,infection,464,600,155,245
16.22568365037903,infection,143,599,156,245
16.235274595738563,recovery,270,599,155,246
16.289071645080647,infection,884,598,156,246
16.313741887093325,infection,857,597,157,246
16.31787812324118,recovery,78,597,156,247
16.321742701690095,infection,290,596,157,247
16.336621066893308,infection,642,595,158,247
16.337640191117952,recovery,269,595,157,248
16.352558652598578,recovery,57,595,156,249
16.3661465342752,infection,140,594,157,249
16.38111631067615,recovery,596,594,156,250
16.39091248058882,infection,965,593,157,250
16.402868388527843,infection,450,592,158,250
16.4362727108865,infection,198,591,159,250
16.470032553459085,recovery,965,591,158,251
16.47100385865676,recovery,751,591,157,252
16.49222992014524,recovery,268,591,156,253
16.494582795943728,infection,583,590,157,253
16.50502112007818,recovery,379,590,156,254
16.50931875774641,recovery,494,590,155,255
16.511798228484274,infection,306,589,156,255
16.52191089888702,infection,258,588,157,255
16.53452804206678,infection,53,587,158,255
16.568418032061615,infection,822,586,159,255
16.591520708362463,infection,486,585,160,255
16.660566401763674,recovery,841,585,159,256
16.672078542229347,infection,852,584,160,256
16.686097391422635,infection,540,583,161,256
16.687654577528225,infection,499,582,162,256
16.696120529756772,recovery,272,582,161,257
16.712413239710642,recovery,800,582,160,258
16.742476381133514,recovery,860,582,159,259
16.75054748072132,infection,859,581,160,259
16.764951204072542,infection,644,580,161,259
16.76995034645281,recovery,254,580,160,260
16.783587359106978,recovery,336,580,159,261
16.790365251248783,recovery,782,580,158,262
16.79125933133838,infection,368,579,159,262
16.810931896551235,infection,249,578,160,262
16.817126533441538,infection,77,577,161,262
16.819451754332754,infection,637,576,162,262
16.821792039360265,infection,696,575,163,262
16.82436282076378,infection,680,574,164,262
16.880404761991816,infection,349,573,165,262
16.907328446904017,recovery,428,573,164,263
16.95011533261008,recovery,225,573,163,264
16.95823626400659,infection,157,572,164,264
16.975235863667475,recovery,320,572,163,265
16.982612003768853,infection,279,571,164,265
16.99514184466089,recovery,627,571,163,266
17.020985567341175,infection,238,570,164,266
17.045827506796325,infection,82,569,165,266
17.050440276188084,recovery,433,569,164,267
17.124736421697534,recovery,157,569,163,268
17.130130123656,recovery,109,569,162,269
17.151213701294477,infection,460,568,163,269
17.153030146076553,infection,670,567,164,269
17.15394760085111,recovery,235,567,163,270
17.164617036691926,recovery,60,567,162,271
