t,S,I,R,scenario,beta,c,gamma,replication,seed
0.0,990,10,0,beta_scan,0.03,10.0,0.25,1,1101
0.24966741739657347,990,9,1,beta_scan,0.03,10.0,0.25,1,1101
0.3534814073550157,990,8,2,beta_scan,0.03,10.0,0.25,1,1101
0.5901942771134229,990,7,3,beta_scan,0.03,10.0,0.25,1,1101
0.7050209512303502,990,6,4,beta_scan,0.03,10.0,0.25,1,1101
0.7835011259740796,990,5,5,beta_scan,0.03,10.0,0.25,1,1101
1.3109759326323716,990,4,6,beta_scan,0.03,10.0,0.25,1,1101
1.3992718192488651,989,5,6,beta_scan,0.03,10.0,0.25,1,1101
1.402096229233794,988,6,6,beta_scan,0.03,10.0,0.25,1,1101
1.7949899143789325,988,5,7,beta_scan,0.03,10.0,0.25,1,1101
1.9006422614543443,987,6,7,beta_scan,0.03,10.0,0.25,1,1101
2.0524815097210176,986,7,7,beta_scan,0.03,10.0,0.25,1,1101
2.3561820658851627,986,6,8,beta_scan,0.03,10.0,0.25,1,1101
2.8390711659609282,985,7,8,beta_scan,0.03,10.0,0.25,1,1101
2.8880974446953456,984,8,8,beta_scan,0.03,10.0,0.25,1,1101
2.947882699055461,984,7,9,beta_scan,0.03,10.0,0.25,1,1101
3.0078143947510823,984,6,10,beta_scan,0.03,10.0,0.25,1,1101
3.0144062557617577,983,7,10,beta_scan,0.03,10.0,0.25,1,1101
3.024794922696811,982,8,10,beta_scan,0.03,10.0,0.25,1,1101
3.1828281361308104,982,7,11,beta_scan,0.03,10.0,0.25,1,1101
3.4907711203138088,982,6,12,beta_scan,0.03,10.0,0.25,1,1101
3.503674333718748,982,5,13,beta_scan,0.03,10.0,0.25,1,1101
3.5694613768282157,982,4,14,beta_scan,0.03,10.0,0.25,1,1101
4.994264802934123,982,3,15,beta_scan,0.03,10.0,0.25,1,1101
5.336286560382993,982,2,16,beta_scan,0.03,10.0,0.25,1,1101
5.683640250783637,981,3,16,beta_scan,0.03,10.0,0.25,1,1101
6.427222684235655,981,2,17,beta_scan,0.03,10.0,0.25,1,1101
6.504595121293724,980,3,17,beta_scan,0.03,10.0,0.25,1,1101
7.3946531752436,979,4,17,beta_scan,0.03,10.0,0.25,1,1101
7.724825865061429,978,5,17,beta_scan,0.03,10.0,0.25,1,1101
7.727382627376173,978,4,18,beta_scan,0.03,10.0,0.25,1,1101
8.460890936415856,977,5,18,beta_scan,0.03,10.0,0.25,1,1101
8.691894810997546,977,4,19,beta_scan,0.03,10.0,0.25,1,1101
8.956790348019892,977,3,20,beta_scan,0.03,10.0,0.25,1,1101
9.553474548825104,977,2,21,beta_scan,0.03,10.0,0.25,1,1101
9.769687371722824,976,3,21,beta_scan,0.03,10.0,0.25,1,1101
9.954638135145228,976,2,22,beta_scan,0.03,10.0,0.25,1,1101
10.1521177767417,976,1,23,beta_scan,0.03,10.0,0.25,1,1101
11.191333730035618,975,2,23,beta_scan,0.03,10.0,0.25,1,1101
14.661946065311001,975,1,24,beta_scan,0.03,10.0,0.25,1,1101
15.040955177365609,974,2,24,beta_scan,0.03,10.0,0.25,1,1101
15.656843415228149,973,3,24,beta_scan,0.03,10.0,0.25,1,1101
15.84050683859171,972,4,24,beta_scan,0.03,10.0,0.25,1,1101
16.770969992822067,971,5,24,beta_scan,0.03,10.0,0.25,1,1101
17.702180365062965,970,6,24,beta_scan,0.03,10.0,0.25,1,1101
17.934711725179888,970,5,25,beta_scan,0.03,10.0,0.25,1,1101
18.686657052022294,970,4,26,beta_scan,0.03,10.0,0.25,1,1101
18.69887450177244,970,3,27,beta_scan,0.03,10.0,0.25,1,1101
20.189521741921105,969,4,27,beta_scan,0.03,10.0,0.25,1,1101
20.943780563447262,969,3,28,beta_scan,0.03,10.0,0.25,1,1101
21.261227712022087,969,2,29,beta_scan,0.03,10.0,0.25,1,1101
21.637708477562033,969,1,30,beta_scan,0.03,10.0,0.25,1,1101
22.948283418321108,969,0,31,beta_scan,0.03,10.0,0.25,1,1101
100.0,969,0,31,beta_scan,0.03,10.0,0.25,1,1101
0.0,990,10,0,beta_scan,0.03,10.0,0.25,2,1102
0.07411160134864676,989,11,0,beta_scan,0.03,10.0,0.25,2,1102
0.07762245711124331,989,10,1,beta_scan,0.03,10.0,0.25,2,1102
0.18973198106342679,988,11,1,beta_scan,0.03,10.0,0.25,2,1102
0.951871833005655,988,10,2,beta_scan,0.03,10.0,0.25,2,1102
0.9663300099836227,988,9,3,beta_scan,0.03,10.0,0.25,2,1102
